volume,sentiment,Taker Buy Sell Ratio,Gas Price (Mean),Open Interest,Estimated Leverage Ratio,Funding Rates,Exchange Netflow (Total),fng_value,Daily_sentiment,lag_return_1,lag_fng,ma_3,volatility_3,Datetime,Actual_Return,Predicted_Return,Signal,Price,high,low,MA_9,Prev_Close,TR,ATR_14,Position,Cash,Portfolio_Value,Daily_Return
48725291,-1,1.00815595,7.910674372,11789537121.25445,0.31177329,0.01448505,112462.70786797558,76,1,-0.0146242333112235,74.0,0.0010273646569625,0.0139071893957472,2024-05-25,0.005741809005066,0.0128316931201098,1,3750.2,3780.0,3709.1,3526.8999999999996,3728.79,70.90000000000009,189.37785714285718,1,146943.2885799851,150448.34754347324,0.005741809005065823
91907352,-1,1.04146213,8.180356285,12518187041.749687,0.3241392,0.01817622,13142.028309351648,75,0,0.005741809005066,76.0,0.0037055030280205,0.0174011730820966,2024-05-26,0.0199989333902192,0.021293605395074,1,3825.2,3886.26,3732.08,3608.3,3750.2,154.1800000000003,196.50428571428574,1,146943.2885799851,153457.1540246637,0.019998933390219076
133068318,-1,1.03611123,18.858871737,12938073190.659302,0.33085077,0.01997403,-30294.00840417482,74,0,0.0199989333902192,75.0,0.01447972113096,0.0076541766740153,2024-05-27,0.017698420997595,0.0241449122499957,1,3892.9,3978.63,3822.2,3693.8455555555556,3825.2,156.4300000000003,198.1778571428572,1,146943.2885799851,156173.103341685,0.01769842099759522
145580440,-1,0.92163501,20.145931047,12803962429.329395,0.3326139,0.02491558,-43483.93544993654,72,1,0.017698420997595,74.0,0.0082939052203003,0.0183175523354419,2024-05-28,-0.012815638726913,-0.0098887269413527,-1,3843.01,3931.6,3771.3,3779.7833333333338,3892.9,160.29999999999973,202.425,1,146943.2885799851,154171.6452703971,-0.012815638726913048
143052666,-1,0.94485116,15.836536949,12584585997.721924,0.33638189,0.02080494,-87895.24228122574,72,1,-0.012815638726913,72.0,-0.0051379360541126,0.0201274827574657,2024-05-29,-0.0202965904330199,-0.0116652771155355,-1,3765.01,3888.0,3742.92,3791.1366666666663,3843.01,145.07999999999993,200.00000000000003,1,146943.2885799851,151042.48652995902,-0.0202965904330199
144489617,-1,0.97652738,16.802668106,12322428610.624306,0.3476251,0.01360124,-14432.697999299038,73,0,-0.0202965904330199,72.0,-0.0124433378140154,0.0080458658817376,2024-05-30,-0.0042177842821135,-0.0055860282955723,-1,3749.13,3826.97,3702.0,3786.417777777778,3765.01,124.9699999999998,200.3942857142857,1,146943.2885799851,150405.4219043416,-0.004217784282113501
141875178,-1,0.99497272,15.368563764,12406927421.48134,0.35299078,0.01558433,-7901.682911646087,73,1,-0.0042177842821135,73.0,-0.0071169913798444,0.0119957011415664,2024-05-31,0.0031634005756,0.0020342428682247,1,3760.99,3852.8,3721.2,3788.817777777778,3749.13,131.60000000000036,196.2657142857143,1,146943.2885799851,150881.21450256716,0.0031634005756000505
46424906,-1,1.06401622,10.295409535,12830597940.68558,0.36093451,0.02187129,-22754.84266175126,72,-1,0.0031634005756,73.0,0.0044424892934785,0.0093655573553623,2024-06-01,0.0143818515869491,0.0181476126524193,1,3815.08,3833.19,3752.0,3792.256666666666,3760.99,81.19000000000005,197.52214285714288,1,146943.2885799851,153051.16573680175,0.014381851586949379
71823387,-1,0.9829164,12.32404248,12519337995.945454,0.3555777,0.01292786,-5319.926478133712,73,0,0.0143818515869491,72.0,0.0029362897257111,0.0115607904980292,2024-06-02,-0.0087363829854157,0.0018093697222297,1,3781.75,3838.12,3751.4,3798.1411111111106,3815.08,86.7199999999998,197.6614285714286,1,146943.2885799851,151714.0521365607,-0.008736382985415792
120847598,-1,0.96749728,16.197031216,12628584432.696428,0.36060852,0.01700495,-45048.08155749476,73,1,-0.0087363829854157,73.0,0.0006328420161608,0.0121655282289856,2024-06-03,-0.0037469425530508,0.0004378792572599,0,3767.58,3854.97,3757.34,3800.0722222222225,3781.75,97.62999999999965,158.16857142857143,1,146943.2885799851,151145.58829871443,-0.0037469425530509692
