volume,sentiment,Taker Buy Sell Ratio,Gas Price (Mean),Open Interest,Estimated Leverage Ratio,Funding Rates,Exchange Netflow (Total),fng_value,Daily_sentiment,lag_return_1,lag_fng,ma_3,volatility_3,Datetime,Actual_Return,Predicted_Return,Signal
79431809,1,1.07841673,23.756563956,9731818144.018215,0.26308534,0.06515247,-27216.19775900472,75,0,-0.0014426770622884,75.0,0.008185982548332959,0.02810037486831881,2024-03-31,0.0398349495473366,0.03164020311860202,Buy
147498968,1,0.90980219,28.461218194,9421950973.438902,0.2641228,0.05804517,26968.78841599333,79,1,0.0398349495473366,75.0,-0.00015673887387200833,0.03936447561499301,2024-04-01,-0.0388624891066642,-0.015670523397762204,Sell
201466910,1,0.88538256,41.928245505,8759935071.064411,0.26281919,0.0247846,23914.40647346736,79,0,-0.0388624891066642,79.0,-0.021239995800828304,0.054446381000423066,2024-04-02,-0.0646924478431573,-0.034074954650471966,Sell
107789682,1,0.94456341,35.65671527,8749297013.480043,0.26052518,0.01852726,18364.56359326921,71,1,-0.0646924478431573,79.0,-0.03129911418959521,0.03774765787154132,2024-04-03,0.0096575943810359,-0.025355732837588667,Sell
116834915,1,1.00026272,31.514431465,8724273343.41173,0.25843635,0.0209698,-36339.03977950802,70,-1,0.0096575943810359,71.0,-0.016654129898001812,0.041665523504862745,2024-04-04,0.005072463768116,0.0030267143953305225,Buy
115421689,1,0.95083834,23.332158093,8847729734.933725,0.26301013,0.01873701,4421.846879434481,79,0,0.005072463768116,70.0,0.004068875427270755,0.006152214421191614,2024-04-05,-0.0025234318673396,-0.006278373673334595,Sell
50470591,1,0.9670198,16.084542564,8813853122.709946,0.25974952,0.01563464,-28170.578305910807,75,-1,-0.0025234318673396,79.0,0.004168554543964322,0.006288941546040338,2024-04-06,0.0099566317311166,-0.0020416641231790888,Sell
63995732,1,1.01557274,18.607930808,9119345618.33582,0.25987187,0.02306733,31442.59056033177,78,1,0.0099566317311166,75.0,0.01269007119166289,0.016748359806422114,2024-04-07,0.0306370137112117,0.017135082694911586,Buy
144290165,1,1.04698871,27.299946961,10033639845.854477,0.2666864,0.03272487,38910.07129997912,76,1,0.0306370137112117,78.0,0.03663944576681275,0.030135751753476603,2024-04-08,0.06932469185811,0.04981813437857254,Buy
170434017,1,0.92367996,29.80683749,9403715238.962534,0.26462494,0.02197826,-81203.29423024727,80,-1,0.06932469185811,76.0,0.016239918415778185,0.061559207811303446,2024-04-09,-0.0512419503219871,-0.018119868935033635,Sell
155918088,1,0.96699286,22.350673267,9354870066.509832,0.26075456,0.02402952,-15030.680043684726,78,1,-0.0512419503219871,80.0,0.009809215341867388,0.06029798966395535,2024-04-10,0.0113449044894793,0.011229987833508513,Buy
111185957,1,0.95961692,22.956079294,9152219720.740036,0.25959365,0.0233681,-53952.76898513269,76,-1,0.0113449044894793,78.0,-0.01730236158246751,0.031627284237050315,2024-04-11,-0.0120100389148947,-0.02574432311872422,Sell
220446270,1,0.86901578,32.16505669,8327423636.120352,0.25583492,0.02422661,2155.404911357328,79,0,-0.0120100389148947,76.0,-0.025511817013901813,0.04514805872912118,2024-04-12,-0.07587031661629,-0.040018069193496,Sell
330182823,1,0.89439462,47.579524113,7262518117.185301,0.24017831,0.01185215,-2388.9027872678125,72,-1,-0.07587031661629,79.0,-0.05306275127327741,0.03562580257670238,2024-04-13,-0.0713078982886475,-0.05228949679012968,Sell
175072088,1,0.96090543,14.997630017,7479043470.327086,0.23605984,0.00292708,3208.8704861481674,72,-1,-0.0713078982886475,72.0,-0.03253191772504061,0.07114971820176938,2024-04-14,0.0495824617298157,-0.029965758371865034,Sell
181942078,1,0.95027538,18.448168036,7364300466.299323,0.23770906,0.00837624,-31882.5808390812,74,0,0.0495824617298157,72.0,-0.01296741421416068,0.060555008226253294,2024-04-15,-0.0171768060836502,-0.03038931869861051,Sell
149549080,1,0.96772802,13.971156075,7245541778.177492,0.2349852,0.01564,10535.43528316461,65,-1,-0.0171768060836502,74.0,0.008954564797178386,0.0356624720178733,2024-04-16,-0.0055419612546303,-0.0038510216531586192,Sell
155890562,1,0.96789679,24.020828954,7170965466.045935,0.24138738,0.01303291,-46326.82356901863,67,0,-0.0055419612546303,65.0,-0.018445212748455782,0.013581948489545274,2024-04-17,-0.0326168709070868,-0.013083908287539714,Sell
107277522,1,0.99134884,14.827204743,7146013869.102377,0.23430088,0.01030625,-136197.3408100854,57,-1,-0.0326168709070868,67.0,-0.003736113233427115,0.02982471307449857,2024-04-18,0.0269504924614358,0.0003616808943992172,Hold
