volume,sentiment,Taker Buy Sell Ratio,MVRV Ratio,Open Interest,Funding Rates,Estimated Leverage Ratio,Exchange Netflow (Total),fng_value,Daily_sentiment,lag_return_1,lag_fng,ma_3,volatility_3,Datetime,Actual_Return,Predicted_Return,Signal
3892589,-1,1.03458142,1.89781309,15710323308.522703,0.0065531416666666,0.1695957,2891.5948137899995,25,1,0.0231564529361867,27.0,0.004799188345024575,0.02172307534909896,2024-08-17,0.0104242761957507,0.015820016040711038,Buy
8298801,-1,0.97906815,1.86376031,15474479735.66192,0.0062213183333333,0.16994386,1777.4014304399989,31,-1,0.0104242761957507,25.0,0.005138493279647674,0.02116188542064247,2024-08-18,-0.0181652492929944,-0.005948567971675843,Sell
12720682,-1,1.00865553,1.89625284,15482326364.84303,0.00057639,0.16720858,1115.3206032800008,28,-1,-0.0181652492929944,31.0,0.0032294541913857762,0.01885650331988303,2024-08-19,0.017429335671401,0.00840115209096028,Buy
19746508,-1,1.00889685,1.88227074,15524571356.146898,0.0024262733333333,0.16892286,1927.22231188,30,0,0.017429335671401,28.0,-0.0026297193322061905,0.018223345708366773,2024-08-20,-0.0071532443750252,0.0073335054688841534,Buy
15855184,-1,1.01237164,1.94985821,16573765293.61574,0.0032334466666666,0.17400485,692.0122083899987,26,1,-0.0071532443750252,30.0,0.015574603901123243,0.021859575817830258,2024-08-21,0.0364477204069939,0.016683409174575448,Buy
13569763,-1,0.97254049,1.92438272,16219344334.043606,0.00353793,0.17237562,-2083.009916820003,39,1,0.0364477204069939,26.0,0.005545995777507309,0.026902766834120077,2024-08-22,-0.0126564886994468,-0.007194615714714956,Sell
25537728,-1,1.06730175,2.03918098,17532889282.312702,0.00331236,0.17627467,-4941.065527710001,34,1,-0.0126564886994468,39.0,0.028379413961888044,0.03765571189340985,2024-08-23,0.061347010178117,0.04523409511545438,Buy
8499200,-1,1.02258845,2.04098261,17673493126.0,0.0069948866666666,0.17716065,1795.193195259999,56,1,0.061347010178117,34.0,0.01670050743010261,0.039299570239475314,2024-08-24,0.0014110008116376,0.021114207225450307,Buy
7072580,-1,1.03412574,2.04283887,17889324239.766914,0.005999825,0.17899043,1270.8228596200006,54,-1,0.0014110008116376,56.0,0.021265355600540076,0.03471223195431764,2024-08-25,0.0010380558118656,0.023439877425393916,Buy
11892182,-1,0.95615158,1.99704023,16993709222.753712,0.00453897,0.17398531,-1881.2665241700013,55,1,0.0010380558118656,54.0,-0.006550457186222925,0.013467960887764667,2024-08-26,-0.022100428182172,-0.007946674601908689,Sell
22458851,-1,0.91688365,1.88939688,15737918944.719637,0.0050419183333333,0.17022701,3206.478179849997,48,0,-0.022100428182172,55.0,-0.025180530261316992,0.0278865058042613,2024-08-27,-0.0544792184136446,-0.028821008055622013,Sell
22744237,-1,0.97352271,1.87823207,15433404484.14127,-0.000110795,0.16784212,4382.671764270002,30,-1,-0.0544792184136446,48.0,-0.02759332330507636,0.02460369587081171,2024-08-28,-0.0062003233194125,-0.014204796175502136,Sell
17674590,-1,0.99869374,1.88568093,15673663926.350592,-0.000702465,0.16989662,-21249.92166345,29,1,-0.0062003233194125,30.0,-0.018451847917618457,0.03172823764405522,2024-08-29,0.0053239979802017,9.871325326196095e-05,Hold
16576137,-1,0.976615,1.8780075,15522818459.43867,0.0026550199999999,0.16872707,3233.8026052200003,34,-1,0.0053239979802017,29.0,-0.0016618483194301573,0.006139602190936064,2024-08-30,-0.0041092196190797,-0.005939110978087452,Sell
3411828,-1,0.97228469,1.87354873,15559663678.104216,-0.001435925,0.16919217,2480.80844873,29,0,-0.0041092196190797,34.0,-0.00042042170478082407,0.005041387132221593,2024-08-31,-0.0024760434754645,-0.0014723265723977695,Sell
11169827,-1,0.94215999,1.82127052,15220094655.01305,0.0015264333333333,0.17029457,281.52546255999914,26,-1,-0.0024760434754645,29.0,-0.011641998873802656,0.014484564899886743,2024-09-01,-0.0283407335268638,-0.01542880589615659,Sell
11195502,-1,1.08563662,1.87938087,15691443083.87786,0.0037427516666666,0.17015299,-613.0944043700001,26,-1,-0.0283407335268638,26.0,0.00040532679969364216,0.030289706547166954,2024-09-02,0.0320327574014092,0.02151734605541532,Buy
10570578,-1,0.95566214,1.82651524,15670746381.53058,0.006839725,0.17516934,-5692.801620710001,26,-1,0.0320327574014092,26.0,-0.008131353889860058,0.03478337373317716,2024-09-03,-0.0280860855441256,-0.025398781523414123,Sell
18089113,-1,0.99452548,1.84234774,15381197626.635712,-0.000678775,0.17064726,-712.3943889100046,27,0,-0.0280860855441256,26.0,0.004189660760449608,0.030303549405271513,2024-09-04,0.0086223104240652,0.0034795324187595743,Buy
14189244,-1,0.93799086,1.78577778,15261618224.354069,0.004095685,0.17427477,4334.220316880004,29,-1,0.0086223104240652,27.0,-0.016852795401473126,0.022113312033667596,2024-09-05,-0.031094611084359,-0.02507465395481189,Sell
27185994,-1,0.92971202,1.71691717,15102224378.422482,0.0016481833333333,0.17903571,2734.844850459994,22,-1,-0.031094611084359,29.0,-0.020677389542603092,0.025724880118808163,2024-09-06,-0.0395598679675155,-0.026421548104566477,Sell
6652411,-1,0.94394511,1.72298224,15027299461.532469,-0.0075574066666666,0.17775851,-1293.938141489998,23,-1,-0.0395598679675155,22.0,-0.02223403349470522,0.023069704724017096,2024-09-07,0.0039523785677588,-0.019624622495279565,Sell
7648671,-1,0.97946062,1.74593094,15293697372.002874,-0.0021633983333333,0.17858502,59.94662371999948,29,1,0.0039523785677588,23.0,-0.007452019220449725,0.028192260655026936,2024-09-08,0.0132514317384075,-0.007424504509298165,Sell
14398096,-1,1.0664079,1.81308706,16188962418.963192,-0.0045681183333333,0.18286751,-9268.583690499996,26,1,0.0132514317384075,29.0,0.018978646442063606,0.01856470782972156,2024-09-09,0.0397321290200245,0.027191837733419953,Buy
