Datetime,Gas Price (Mean)
2019-12-21T00:00:00Z,11.564292445
2019-12-20T00:00:00Z,12.975504495
2019-12-19T00:00:00Z,12.734043477
2019-12-18T00:00:00Z,16.472648521
2019-12-17T00:00:00Z,15.385205487
2019-12-16T00:00:00Z,13.510950392
2019-12-15T00:00:00Z,12.35163501
2019-12-14T00:00:00Z,11.628995252
2019-12-13T00:00:00Z,12.012144514
2019-12-12T00:00:00Z,12.084892087
2019-12-11T00:00:00Z,13.178906109
2019-12-10T00:00:00Z,12.193590221
2019-12-09T00:00:00Z,11.583325488
2019-12-08T00:00:00Z,9.616107818
2019-12-07T00:00:00Z,12.13620911
2019-12-06T00:00:00Z,13.462023783
2019-12-05T00:00:00Z,13.288101213
2019-12-04T00:00:00Z,13.985771861
2019-12-03T00:00:00Z,13.97440014
2019-12-02T00:00:00Z,15.202735292
2019-12-01T00:00:00Z,16.143356637
2019-11-30T00:00:00Z,13.159635314
2019-11-29T00:00:00Z,13.447918522
2019-11-28T00:00:00Z,14.607340826
2019-11-27T00:00:00Z,14.455380895
2019-11-26T00:00:00Z,16.313983191
2019-11-25T00:00:00Z,20.117940342
2019-11-24T00:00:00Z,13.754131455
2019-11-23T00:00:00Z,13.460039573
2019-11-22T00:00:00Z,23.860020478
2019-11-21T00:00:00Z,17.806076491
2019-11-20T00:00:00Z,15.019514151
2019-11-19T00:00:00Z,14.256562238
2019-11-18T00:00:00Z,21.587135503
2019-11-17T00:00:00Z,13.579132571
2019-11-16T00:00:00Z,13.075206899
2019-11-15T00:00:00Z,14.416136368
2019-11-14T00:00:00Z,15.963193058
2019-11-13T00:00:00Z,14.9313411
2019-11-12T00:00:00Z,14.518867196
2019-11-11T00:00:00Z,14.747036207
2019-11-10T00:00:00Z,13.850949718
2019-11-09T00:00:00Z,14.300394285
2019-11-08T00:00:00Z,14.127759344
2019-11-07T00:00:00Z,17.177221543
2019-11-06T00:00:00Z,13.845995029
2019-11-05T00:00:00Z,14.465881627
2019-11-04T00:00:00Z,15.052772931
2019-11-03T00:00:00Z,14.550149168
2019-11-02T00:00:00Z,14.224241994
2019-11-01T00:00:00Z,15.321987418
2019-10-31T00:00:00Z,15.961552606
2019-10-30T00:00:00Z,16.141508327
2019-10-29T00:00:00Z,16.274384921
2019-10-28T00:00:00Z,16.046758543
2019-10-27T00:00:00Z,14.655154976
2019-10-26T00:00:00Z,15.991853518
2019-10-25T00:00:00Z,16.002570283
2019-10-24T00:00:00Z,15.227776778
2019-10-23T00:00:00Z,18.81366591
2019-10-22T00:00:00Z,16.331757175
2019-10-21T00:00:00Z,15.266270347
2019-10-20T00:00:00Z,15.559116072
2019-10-19T00:00:00Z,14.160476025
2019-10-18T00:00:00Z,14.274341744
2019-10-17T00:00:00Z,14.08536741
2019-10-16T00:00:00Z,14.442536506
2019-10-15T00:00:00Z,15.078048201
2019-10-14T00:00:00Z,15.193558343
2019-10-13T00:00:00Z,15.205496605
2019-10-12T00:00:00Z,14.521288688
2019-10-11T00:00:00Z,15.347748041
2019-10-10T00:00:00Z,15.830259493
2019-10-09T00:00:00Z,16.931636429
2019-10-08T00:00:00Z,14.780478595
2019-10-07T00:00:00Z,14.66243961
2019-10-06T00:00:00Z,13.847522632
2019-10-05T00:00:00Z,15.294772837
2019-10-04T00:00:00Z,16.613882217
2019-10-03T00:00:00Z,16.407408337
2019-10-02T00:00:00Z,14.772438926
2019-10-01T00:00:00Z,14.781049721
2019-09-30T00:00:00Z,21.684520866
2019-09-29T00:00:00Z,23.50055012
2019-09-28T00:00:00Z,22.560249321
2019-09-27T00:00:00Z,25.298724392
2019-09-26T00:00:00Z,24.831091092
2019-09-25T00:00:00Z,34.505552334
2019-09-24T00:00:00Z,28.995093149
2019-09-23T00:00:00Z,25.255801043
2019-09-22T00:00:00Z,20.590632023
2019-09-21T00:00:00Z,23.140282798
2019-09-20T00:00:00Z,28.52625072
2019-09-19T00:00:00Z,29.777963294
2019-09-18T00:00:00Z,28.365773094
2019-09-17T00:00:00Z,26.399503002
2019-09-16T00:00:00Z,22.817267228
2019-09-15T00:00:00Z,22.236047671
2019-09-14T00:00:00Z,22.834967682
2019-09-13T00:00:00Z,21.988452521
2019-09-12T00:00:00Z,22.871476411
2019-09-11T00:00:00Z,21.338785474
2019-09-10T00:00:00Z,21.893562545
2019-09-09T00:00:00Z,20.485600368
2019-09-08T00:00:00Z,18.511810108
2019-09-07T00:00:00Z,17.632530479
2019-09-06T00:00:00Z,18.496725305
2019-09-05T00:00:00Z,18.530078953
2019-09-04T00:00:00Z,14.791560414
2019-09-03T00:00:00Z,14.921310954
2019-09-02T00:00:00Z,15.922512329
2019-09-01T00:00:00Z,14.732668913
2019-08-31T00:00:00Z,14.071247779
2019-08-30T00:00:00Z,14.677822912
2019-08-29T00:00:00Z,14.960110916
2019-08-28T00:00:00Z,14.683870415
2019-08-27T00:00:00Z,14.634259688
2019-08-26T00:00:00Z,17.088918182
2019-08-25T00:00:00Z,13.821837015
2019-08-24T00:00:00Z,12.920227453
2019-08-23T00:00:00Z,13.873813419
2019-08-22T00:00:00Z,14.723959421
2019-08-21T00:00:00Z,16.114389267
2019-08-20T00:00:00Z,13.718778876
2019-08-19T00:00:00Z,13.79680985
2019-08-18T00:00:00Z,11.034062178
2019-08-17T00:00:00Z,10.563371318
2019-08-16T00:00:00Z,12.11435915
2019-08-15T00:00:00Z,14.148150754
2019-08-14T00:00:00Z,12.123110519
2019-08-13T00:00:00Z,18.838946735
2019-08-12T00:00:00Z,12.868397975
2019-08-11T00:00:00Z,11.564609919
2019-08-10T00:00:00Z,12.172213258
2019-08-09T00:00:00Z,13.260251621
2019-08-08T00:00:00Z,12.938718897
2019-08-07T00:00:00Z,11.717497891
2019-08-06T00:00:00Z,12.139358648
2019-08-05T00:00:00Z,12.187870499
2019-08-04T00:00:00Z,10.388113968
2019-08-03T00:00:00Z,17.574013266
2019-08-02T00:00:00Z,14.792415478
2019-08-01T00:00:00Z,18.280321205
2019-07-31T00:00:00Z,13.08203737
2019-07-30T00:00:00Z,12.961176518
2019-07-29T00:00:00Z,12.353159146
2019-07-28T00:00:00Z,10.821896263
2019-07-27T00:00:00Z,11.902985198
2019-07-26T00:00:00Z,12.79341689
2019-07-25T00:00:00Z,17.913721826
2019-07-24T00:00:00Z,18.739975653
2019-07-23T00:00:00Z,13.393372879
2019-07-22T00:00:00Z,12.068997938
2019-07-21T00:00:00Z,12.41506419
2019-07-20T00:00:00Z,11.810805732
2019-07-19T00:00:00Z,17.313501866
2019-07-18T00:00:00Z,13.146043766
2019-07-17T00:00:00Z,19.039577902
2019-07-16T00:00:00Z,22.086081173
2019-07-15T00:00:00Z,14.391823351
2019-07-14T00:00:00Z,14.549904866
2019-07-13T00:00:00Z,11.648504713
2019-07-12T00:00:00Z,13.858375814
2019-07-11T00:00:00Z,17.659604204
2019-07-10T00:00:00Z,12.311263459
2019-07-09T00:00:00Z,13.354434732
2019-07-08T00:00:00Z,15.357671729
2019-07-07T00:00:00Z,11.104776038
2019-07-06T00:00:00Z,14.105736514
2019-07-05T00:00:00Z,14.966418457
2019-07-04T00:00:00Z,12.33243176
2019-07-03T00:00:00Z,13.421011844
2019-07-02T00:00:00Z,15.707401802
2019-07-01T00:00:00Z,19.495480702
2019-06-30T00:00:00Z,16.104017148
2019-06-29T00:00:00Z,14.940918163
2019-06-28T00:00:00Z,17.825750476
2019-06-27T00:00:00Z,20.523146773
2019-06-26T00:00:00Z,18.216041457
2019-06-25T00:00:00Z,18.393913182
2019-06-24T00:00:00Z,14.320705396
2019-06-23T00:00:00Z,12.864071156
2019-06-22T00:00:00Z,13.053354854
2019-06-21T00:00:00Z,13.116500533
2019-06-20T00:00:00Z,19.142666833
2019-06-19T00:00:00Z,15.123969503
2019-06-18T00:00:00Z,14.123788706
2019-06-17T00:00:00Z,18.012948405
2019-06-16T00:00:00Z,11.723471543
