Datetime,Taker Buy Sell Ratio
2024-04-05T00:00:00Z,0.95083834
2024-04-04T00:00:00Z,1.00026272
2024-04-03T00:00:00Z,0.94456341
2024-04-02T00:00:00Z,0.88538256
2024-04-01T00:00:00Z,0.90980219
2024-03-31T00:00:00Z,1.07841673
2024-03-30T00:00:00Z,0.96135023
2024-03-29T00:00:00Z,0.9446819
2024-03-28T00:00:00Z,0.99252098
2024-03-27T00:00:00Z,0.94561462
2024-03-26T00:00:00Z,1.01257422
2024-03-25T00:00:00Z,1.01493639
2024-03-24T00:00:00Z,1.0405039
2024-03-23T00:00:00Z,0.98215832
2024-03-22T00:00:00Z,0.92405775
2024-03-21T00:00:00Z,0.97408467
2024-03-20T00:00:00Z,0.98609234
2024-03-19T00:00:00Z,0.939215
2024-03-18T00:00:00Z,0.95101986
2024-03-17T00:00:00Z,0.99601314
2024-03-16T00:00:00Z,0.94047121
2024-03-15T00:00:00Z,0.96778138
2024-03-14T00:00:00Z,0.93550504
2024-03-13T00:00:00Z,0.95700137
2024-03-12T00:00:00Z,0.96091265
2024-03-11T00:00:00Z,0.96427847
2024-03-10T00:00:00Z,0.93209549
2024-03-09T00:00:00Z,0.95418075
2024-03-08T00:00:00Z,0.98297489
2024-03-07T00:00:00Z,0.97692682
2024-03-06T00:00:00Z,0.9923564
2024-03-05T00:00:00Z,0.9418425
2024-03-04T00:00:00Z,0.97507991
2024-03-03T00:00:00Z,0.97248963
2024-03-02T00:00:00Z,0.9344119
2024-03-01T00:00:00Z,0.96980312
2024-02-29T00:00:00Z,0.93390927
2024-02-28T00:00:00Z,0.99699581
2024-02-27T00:00:00Z,1.01353292
2024-02-26T00:00:00Z,0.98771709
2024-02-25T00:00:00Z,1.07049224
2024-02-24T00:00:00Z,1.04364941
2024-02-23T00:00:00Z,0.95492248
2024-02-22T00:00:00Z,0.99649494
2024-02-21T00:00:00Z,0.94453289
2024-02-20T00:00:00Z,0.98777012
2024-02-19T00:00:00Z,1.00995547
2024-02-18T00:00:00Z,1.01746324
2024-02-17T00:00:00Z,0.94562943
2024-02-16T00:00:00Z,0.95434349
2024-02-15T00:00:00Z,0.9964867
2024-02-14T00:00:00Z,1.04025179
2024-02-13T00:00:00Z,0.94671823
2024-02-12T00:00:00Z,1.05520866
2024-02-11T00:00:00Z,0.99494457
2024-02-10T00:00:00Z,0.96938625
2024-02-09T00:00:00Z,1.04997761
2024-02-08T00:00:00Z,0.99535916
2024-02-07T00:00:00Z,1.06168016
2024-02-06T00:00:00Z,1.02033454
2024-02-05T00:00:00Z,1.00948756
2024-02-04T00:00:00Z,0.98673877
2024-02-03T00:00:00Z,0.94805378
2024-02-02T00:00:00Z,0.95745824
2024-02-01T00:00:00Z,0.97775864
2024-01-31T00:00:00Z,0.91752111
2024-01-30T00:00:00Z,1.0061315
2024-01-29T00:00:00Z,1.0200858
2024-01-28T00:00:00Z,0.9795766
2024-01-27T00:00:00Z,0.94025436
2024-01-26T00:00:00Z,1.02330679
2024-01-25T00:00:00Z,1.00224507
2024-01-24T00:00:00Z,0.97421139
2024-01-23T00:00:00Z,0.93704096
2024-01-22T00:00:00Z,0.91379373
2024-01-21T00:00:00Z,0.95113631
2024-01-20T00:00:00Z,0.94665014
2024-01-19T00:00:00Z,0.98015783
2024-01-18T00:00:00Z,0.91914743
2024-01-17T00:00:00Z,0.97509669
2024-01-16T00:00:00Z,0.9785097
2024-01-15T00:00:00Z,0.97588227
2024-01-14T00:00:00Z,0.93254461
2024-01-13T00:00:00Z,0.98470041
2024-01-12T00:00:00Z,0.98173506
2024-01-11T00:00:00Z,0.98476128
2024-01-10T00:00:00Z,1.00943773
2024-01-09T00:00:00Z,0.98262636
2024-01-08T00:00:00Z,1.01852558
2024-01-07T00:00:00Z,0.95934458
2024-01-06T00:00:00Z,0.95860917
2024-01-05T00:00:00Z,0.9893486
2024-01-04T00:00:00Z,0.99375623
2024-01-03T00:00:00Z,0.9056901
2024-01-02T00:00:00Z,0.98220945
2024-01-01T00:00:00Z,1.04271363
2023-12-31T00:00:00Z,0.97013363
2023-12-30T00:00:00Z,0.97921818
2023-12-29T00:00:00Z,0.93653152
2023-12-28T00:00:00Z,0.9572367
2023-12-27T00:00:00Z,1.04680314
2023-12-26T00:00:00Z,0.87838711
2023-12-25T00:00:00Z,0.96738344
2023-12-24T00:00:00Z,0.9271197
2023-12-23T00:00:00Z,0.93583725
2023-12-22T00:00:00Z,1.00066014
2023-12-21T00:00:00Z,1.00049514
2023-12-20T00:00:00Z,1.01643601
2023-12-19T00:00:00Z,0.94836769
2023-12-18T00:00:00Z,0.97842363
2023-12-17T00:00:00Z,0.93071679
2023-12-16T00:00:00Z,0.97044078
2023-12-15T00:00:00Z,0.94138599
2023-12-14T00:00:00Z,0.98767121
2023-12-13T00:00:00Z,0.99102939
2023-12-12T00:00:00Z,0.98595685
2023-12-11T00:00:00Z,0.90751706
2023-12-10T00:00:00Z,0.97998893
2023-12-09T00:00:00Z,0.95675457
2023-12-08T00:00:00Z,0.98181734
2023-12-07T00:00:00Z,1.03028398
2023-12-06T00:00:00Z,0.94067159
2023-12-05T00:00:00Z,0.99934507
2023-12-04T00:00:00Z,0.98685055
2023-12-03T00:00:00Z,1.00481503
2023-12-02T00:00:00Z,1.08513083
2023-12-01T00:00:00Z,1.00598795
2023-11-30T00:00:00Z,1.0030253
2023-11-29T00:00:00Z,0.94757975
2023-11-28T00:00:00Z,1.01788851
2023-11-27T00:00:00Z,0.92126412
2023-11-26T00:00:00Z,0.93902505
2023-11-25T00:00:00Z,0.99310866
2023-11-24T00:00:00Z,0.99067714
2023-11-23T00:00:00Z,0.98785108
2023-11-22T00:00:00Z,1.02807498
2023-11-21T00:00:00Z,0.94774903
2023-11-20T00:00:00Z,0.99051038
2023-11-19T00:00:00Z,1.07976357
2023-11-18T00:00:00Z,0.97069291
2023-11-17T00:00:00Z,0.9522654
2023-11-16T00:00:00Z,0.93376252
2023-11-15T00:00:00Z,1.01313945
2023-11-14T00:00:00Z,0.87703832
2023-11-13T00:00:00Z,0.93162602
2023-11-12T00:00:00Z,0.92054376
2023-11-11T00:00:00Z,0.94708161
2023-11-10T00:00:00Z,0.97213095
2023-11-09T00:00:00Z,1.05700297
2023-11-08T00:00:00Z,0.96004212
2023-11-07T00:00:00Z,0.95946474
2023-11-06T00:00:00Z,0.97155453
2023-11-05T00:00:00Z,1.02761276
2023-11-04T00:00:00Z,1.01032031
2023-11-03T00:00:00Z,0.97844809
2023-11-02T00:00:00Z,0.91915132
